ID,Tweets,Label,Remarks
1.01E+18,"@Airtel_Presence been trying to convert my connection from postpaid to prepaid since 6 months, all the time the guy… https://t.co/qcsSIGYC35",NSC,P2P
1.01E+18,@Airtel_Presence every fortnight there has been a repeated deduction from my main balance without any usage of serv… https://t.co/wleUtR7naA,NPL,
1.01E+18,"@bharatjain1973 @manojsinhabjp 
@Airtel_Presence 
Day-to-Day Airtel giving pathetic services to us. Even we are not… https://t.co/6O3MYsOL5k",NSC,
1.01E+18,@airtelindia @Airtel_Presence india best network explained to much time taking open youtube https://t.co/bNP0R67WGL,NNW,
1.01E+18,@Airtel_Presence @airtelindia for u guys i missed d world cup match even after recharging and services stopped more… https://t.co/2Fl8mf9dwd,NSC,
1.01E+18,@Airtel_Presence we can't use airtel tv app with any other networks?,QRY,
1.01E+18,@Airtel_Presence @airtelindia @airtelnews @PMOIndia @CMOfficeUP many time complaint about this network issue no res… https://t.co/fHnRoFvlF1,NNW,
1.01E+18,@airtelindia  Reference no is C4GDC20616579971.#airtel call centre Staff mr digvijay told me sir app port karalo… https://t.co/EGNJ9hpYUv,NSC,
1.01E+18,@Airtel_Presence what the hell is going on where is my 1.4GB data i want my data usage statement for 15th june,NSC,
1.01E+18,@Airtel_Presence  2bara Kabhi v is ghatia company me unlimited packs ni bharaunga... Na network Acha na internet sp… https://t.co/SRcorIemju,NNW,
1.01E+18,@Airtel_Presence  kitni baar bolna pdega network issue and internet speed sudharne k lie..ab gaali khake hi manoge… https://t.co/ZrRuW6s7JG,NNW,
1.01E+18,@Airtel_Presence @airtelindia request you to plz bring back the Airtel free hit contest for the fifa world cup,QRY,
1.01E+18,@Airtel_Presence when your 4g speed is not even able to download airtel tv application from playstore and how are y… https://t.co/gPKX8ynUe8,NNW,
1.01E+18,wow nothing happened as expected well done team @Airtel_Presence,NSC,
1.01E+18,"@Airtel_Presence Hi, lost my airtel sim. What to do?",QRY,
1.01E+18,@Airtel_Presence  what network you are providing I can't talk regularly only 5 minutes call automatically disconnec… https://t.co/I1kJPBK9NG,NNW,
1.01E+18,@Airtel_Presence @airtelindia @airtel unable to top up /buy Sony ten 2 hd to watch fifa https://t.co/zaXGO0PNbP,QRY,
1.01E+18,"@airtelindia @airtel_presence Even they (@JioCare ) responded. What do you say, should I follow their instructions?… https://t.co/EHUfHeC4nm",NSC,
1.01E+18,@Airtel_Presence One more day passed and nothing happened..no improvements.. frustrated with Airtel services...worst service..,NSC,
1.01E+18,@Airtel_Presence absolutely pathetic internet services across the entire Chandigarh tricity region since a week!,NNW,
1.01E+18,When @airtelindia and @Airtel_Presence don't listen to your complain head over to these guys (@jagograhakjago… https://t.co/BzKdp5xPy4,NSC,
1.01E+18,@Airtel_Presence ported from Vodafone to Airtel and my number just became active. Why am I getting 3g instead of 4g… https://t.co/voxB9VOjBt,QRY,
1.01E+18,@airtelindia @Airtel_Presence you really super in branding “Airtel 4G Try Kia Kya or Sab Try Karo Aur Fir Chunno”..… https://t.co/qL0Mg4Y4LY,P,Branding
1.01E+18,@airtelindia @Airtel_Presence Anybody knows sunil mittal mobile number or dth service sure he doesn't use bloody Ai… https://t.co/nxz5BnTI0y,NNW,
1.01E+18,RT @avijay1610: @Airtel_Presence is this a kind of silent looting by Airtel? Why every bill is being rounded off? If Airtel manages to get…,NPL,
1.01E+18,@Airtel_Presence Facing lot of issues with 4G services in Bangalore. have raised the concern many times but still i… https://t.co/CkCfmY4vYd,NNW,
1.01E+18,"Hey @Airtel_Presence why does your DTH connection go off the second it starts raining?
It's regretful that we have… https://t.co/FASTMIbtfI",NNW,DTH
1.01E+18,"@airtelindia @Airtel_Presence how do I activate FIFA in HD . Tried on My Airtel App , automated voice . Nothing see… https://t.co/Ba3Um8SMZi",QRY,
1.01E+18,@Airtel_Presence @airtelindia signal issues for cust id 3005227 861 for more than a month and multiple complaints.… https://t.co/lrWdgkgpME,NSC,
1.01E+18,@Airtel_Presence @airtelindia @airtel please see this and do something and if you can’t then atlest don’t set false… https://t.co/rrAMmVoi28,NSC,
1.01E+18,@Airtel_Presence @airtelindia bunch of illiterate idiots r hired by d worlds most biggest idiot neither can provide… https://t.co/Rfy3Iu50Ef,NSC,
1.01E+18,@Airtel_Presence Airtel has looted Rs 4000 from me in the name of International Roaming pack and they have not prov… https://t.co/wS8X91GZmg,NPL,
